20140130,20140228,20140331,20140430,20140530,20140630,20140731,20140829,20140930,20141031,20141128,20141231,20150130,20150227,20150331,20150430,20150529,20150630,20150731,20150831,20150930,20151030,20151130,20151231,20160129,20160229,20160331,20160429,20160531,20160630,20160729,20160831,20160930,20161031,20161130,20161230,20170126,20170228,20170331,20170428,20170531,20170630,20170731,20170831,20170929,20171031,20171130,20171229,20180131,20180228,20180330,20180427,20180531,20180629,20180731,20180831,20180928,20181031,20181130,20181228,20190131,20190228,20190329,20190430,20190531,20190628,20190731,20190830,20190930,20191031,20191129,20191231,20200123,20200228,20200331,20200430,20200529,20200630,20200731,20200831,20200930,20201030,20201130,20201231,20210129,20210226,20210331,20210430,20210531,20210630,20210730,20210831,20210930,20211029,20211130,20211231,20220128,20220228,20220331,20220429,20220531,20220630,20220729,20220831,20220930,20221031,20221130,20221230,20230131,20230228,20230331,20230428,20230531,20230630,20230731
000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000009.SZ,000009.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000006.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000001.SZ,000001.SZ,000001.SZ,000001.SZ,000001.SZ,000001.SZ,000001.SZ,000001.SZ,000001.SZ,000001.SZ,000001.SZ,000001.SZ,000001.SZ,000001.SZ,000001.SZ,000001.SZ,000001.SZ,000001.SZ,000001.SZ,000001.SZ,000001.SZ,000001.SZ,000001.SZ,000001.SZ,000001.SZ,000001.SZ,000001.SZ,000001.SZ,000001.SZ,000001.SZ,000001.SZ,000001.SZ,000001.SZ,000001.SZ,000001.SZ,000001.SZ,000001.SZ,000001.SZ,000001.SZ,000001.SZ,000009.SZ,000009.SZ,000001.SZ,000001.SZ,000001.SZ,000001.SZ,000001.SZ,000001.SZ,,,,,,,
000006.SZ,000006.SZ,000006.SZ,000006.SZ,000006.SZ,000006.SZ,000006.SZ,000006.SZ,000006.SZ,000006.SZ,000006.SZ,000006.SZ,000009.SZ,000009.SZ,000009.SZ,000009.SZ,000028.SZ,000028.SZ,000028.SZ,000009.SZ,000009.SZ,000009.SZ,000009.SZ,000009.SZ,000006.SZ,000006.SZ,000006.SZ,000006.SZ,000006.SZ,000006.SZ,000006.SZ,000006.SZ,000006.SZ,000006.SZ,000006.SZ,000006.SZ,000006.SZ,000006.SZ,000006.SZ,000006.SZ,000006.SZ,000006.SZ,000008.SZ,000006.SZ,000006.SZ,000006.SZ,000006.SZ,000006.SZ,000006.SZ,000006.SZ,000006.SZ,000006.SZ,000006.SZ,000006.SZ,000006.SZ,000006.SZ,000006.SZ,000006.SZ,000006.SZ,000006.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000002.SZ,000009.SZ,000009.SZ,000009.SZ,000009.SZ,000009.SZ,000009.SZ,000009.SZ,000009.SZ,000009.SZ,000009.SZ,000009.SZ,000009.SZ,000009.SZ,000009.SZ,000009.SZ,000009.SZ,000012.SZ,000012.SZ,000009.SZ,000009.SZ,000009.SZ,000009.SZ,000009.SZ,000009.SZ,,,,,,,
000012.SZ,000012.SZ,000012.SZ,000012.SZ,000012.SZ,000012.SZ,000012.SZ,000012.SZ,000012.SZ,000012.SZ,000012.SZ,000012.SZ,000028.SZ,000028.SZ,000028.SZ,000028.SZ,000031.SZ,000031.SZ,000031.SZ,000028.SZ,000028.SZ,000028.SZ,000028.SZ,000028.SZ,000028.SZ,000028.SZ,000028.SZ,000028.SZ,000028.SZ,000028.SZ,000030.SZ,000031.SZ,000031.SZ,000031.SZ,000028.SZ,000028.SZ,000011.SZ,000011.SZ,000011.SZ,000011.SZ,000011.SZ,000008.SZ,000011.SZ,000008.SZ,000008.SZ,000008.SZ,000008.SZ,000008.SZ,000011.SZ,000011.SZ,000011.SZ,000011.SZ,000019.SZ,000011.SZ,000011.SZ,000011.SZ,000011.SZ,000011.SZ,000011.SZ,000011.SZ,000011.SZ,000011.SZ,000011.SZ,000011.SZ,000011.SZ,000011.SZ,000011.SZ,000011.SZ,000011.SZ,000011.SZ,000011.SZ,000011.SZ,000009.SZ,000009.SZ,000009.SZ,000009.SZ,000009.SZ,000009.SZ,000011.SZ,000009.SZ,000009.SZ,000009.SZ,000009.SZ,000009.SZ,000011.SZ,000011.SZ,000011.SZ,000011.SZ,000011.SZ,000011.SZ,000011.SZ,000011.SZ,000011.SZ,000011.SZ,000011.SZ,000011.SZ,000012.SZ,000012.SZ,000012.SZ,000012.SZ,000019.SZ,000019.SZ,000012.SZ,000012.SZ,000012.SZ,000012.SZ,000012.SZ,000012.SZ,,,,,,,
000021.SZ,000021.SZ,000021.SZ,000021.SZ,000021.SZ,000021.SZ,000021.SZ,000021.SZ,000021.SZ,000021.SZ,000021.SZ,000021.SZ,000031.SZ,000031.SZ,000031.SZ,000031.SZ,000089.SZ,000055.SZ,000055.SZ,000031.SZ,000031.SZ,000031.SZ,000031.SZ,000031.SZ,000030.SZ,000030.SZ,000030.SZ,000030.SZ,000030.SZ,000030.SZ,000031.SZ,000049.SZ,000049.SZ,000049.SZ,000031.SZ,000031.SZ,000026.SZ,000026.SZ,000026.SZ,000026.SZ,000026.SZ,000011.SZ,000026.SZ,000011.SZ,000011.SZ,000011.SZ,000011.SZ,000011.SZ,000019.SZ,000019.SZ,000019.SZ,000019.SZ,000021.SZ,000021.SZ,000021.SZ,000021.SZ,000021.SZ,000021.SZ,000021.SZ,000021.SZ,000012.SZ,000012.SZ,000012.SZ,000012.SZ,000012.SZ,000012.SZ,000012.SZ,000012.SZ,000012.SZ,000012.SZ,000012.SZ,000012.SZ,000011.SZ,000011.SZ,000011.SZ,000011.SZ,000011.SZ,000011.SZ,000012.SZ,000011.SZ,000011.SZ,000011.SZ,000011.SZ,000011.SZ,000012.SZ,000012.SZ,000012.SZ,000012.SZ,000012.SZ,000012.SZ,000012.SZ,000012.SZ,000012.SZ,000012.SZ,000012.SZ,000012.SZ,000019.SZ,000019.SZ,000019.SZ,000019.SZ,000025.SZ,000025.SZ,000019.SZ,000019.SZ,000019.SZ,000019.SZ,000019.SZ,000019.SZ,,,,,,,
000024.SZ,000024.SZ,000024.SZ,000024.SZ,000027.SZ,000024.SZ,000024.SZ,000024.SZ,000024.SZ,000024.SZ,000024.SZ,000024.SZ,000055.SZ,000055.SZ,000055.SZ,000089.SZ,000100.SZ,000100.SZ,000089.SZ,000055.SZ,000055.SZ,000055.SZ,000055.SZ,000055.SZ,000031.SZ,000031.SZ,000031.SZ,000031.SZ,000031.SZ,000049.SZ,000049.SZ,000055.SZ,000055.SZ,000055.SZ,000049.SZ,000049.SZ,000031.SZ,000031.SZ,000031.SZ,000031.SZ,000031.SZ,000026.SZ,000030.SZ,000026.SZ,000026.SZ,000026.SZ,000026.SZ,000026.SZ,000021.SZ,000021.SZ,000021.SZ,000021.SZ,000026.SZ,000028.SZ,000028.SZ,000028.SZ,000028.SZ,000028.SZ,000028.SZ,000028.SZ,000021.SZ,000021.SZ,000021.SZ,000021.SZ,000021.SZ,000021.SZ,000021.SZ,000021.SZ,000021.SZ,000021.SZ,000021.SZ,000021.SZ,000012.SZ,000012.SZ,000012.SZ,000012.SZ,000012.SZ,000021.SZ,000021.SZ,000012.SZ,000012.SZ,000012.SZ,000012.SZ,000012.SZ,000019.SZ,000019.SZ,000019.SZ,000019.SZ,000019.SZ,000019.SZ,000019.SZ,000019.SZ,000019.SZ,000019.SZ,000019.SZ,000019.SZ,000025.SZ,000025.SZ,000025.SZ,000025.SZ,000034.SZ,000034.SZ,000025.SZ,000025.SZ,000025.SZ,000025.SZ,000025.SZ,000025.SZ,,,,,,,
000027.SZ,000027.SZ,000027.SZ,000027.SZ,000028.SZ,000027.SZ,000027.SZ,000027.SZ,000027.SZ,000027.SZ,000027.SZ,000027.SZ,000089.SZ,000089.SZ,000089.SZ,000100.SZ,000159.SZ,000151.SZ,000100.SZ,000089.SZ,000089.SZ,000089.SZ,000089.SZ,000089.SZ,000049.SZ,000049.SZ,000049.SZ,000055.SZ,000049.SZ,000055.SZ,000055.SZ,000060.SZ,000060.SZ,000060.SZ,000055.SZ,000055.SZ,000040.SZ,000049.SZ,000049.SZ,000039.SZ,000039.SZ,000030.SZ,000031.SZ,000030.SZ,000030.SZ,000030.SZ,000030.SZ,000030.SZ,000026.SZ,000026.SZ,000026.SZ,000026.SZ,000028.SZ,000039.SZ,000032.SZ,000032.SZ,000031.SZ,000031.SZ,000031.SZ,000031.SZ,000028.SZ,000028.SZ,000028.SZ,000028.SZ,000028.SZ,000028.SZ,000028.SZ,000028.SZ,000028.SZ,000028.SZ,000028.SZ,000028.SZ,000021.SZ,000021.SZ,000021.SZ,000021.SZ,000021.SZ,000026.SZ,000026.SZ,000021.SZ,000021.SZ,000021.SZ,000021.SZ,000021.SZ,000021.SZ,000021.SZ,000021.SZ,000021.SZ,000021.SZ,000021.SZ,000021.SZ,000021.SZ,000021.SZ,000021.SZ,000021.SZ,000021.SZ,000034.SZ,000034.SZ,000034.SZ,000034.SZ,000059.SZ,000059.SZ,000034.SZ,000034.SZ,000034.SZ,000034.SZ,000034.SZ,000034.SZ,,,,,,,
000028.SZ,000028.SZ,000028.SZ,000028.SZ,000031.SZ,000028.SZ,000028.SZ,000028.SZ,000028.SZ,000028.SZ,000028.SZ,000028.SZ,000100.SZ,000100.SZ,000151.SZ,000151.SZ,000402.SZ,000159.SZ,000159.SZ,000100.SZ,000100.SZ,000100.SZ,000100.SZ,000100.SZ,000055.SZ,000055.SZ,000055.SZ,000060.SZ,000055.SZ,000060.SZ,000060.SZ,000062.SZ,000062.SZ,000062.SZ,000060.SZ,000060.SZ,000049.SZ,000050.SZ,000050.SZ,000049.SZ,000040.SZ,000031.SZ,000039.SZ,000031.SZ,000031.SZ,000031.SZ,000031.SZ,000031.SZ,000028.SZ,000028.SZ,000028.SZ,000028.SZ,000039.SZ,000040.SZ,000039.SZ,000039.SZ,000032.SZ,000032.SZ,000032.SZ,000032.SZ,000031.SZ,000031.SZ,000031.SZ,000031.SZ,000031.SZ,000031.SZ,000031.SZ,000031.SZ,000031.SZ,000031.SZ,000031.SZ,000031.SZ,000026.SZ,000026.SZ,000026.SZ,000026.SZ,000026.SZ,000027.SZ,000027.SZ,000026.SZ,000026.SZ,000026.SZ,000026.SZ,000026.SZ,000026.SZ,000026.SZ,000026.SZ,000026.SZ,000026.SZ,000026.SZ,000026.SZ,000026.SZ,000026.SZ,000026.SZ,000026.SZ,000026.SZ,000059.SZ,000059.SZ,000059.SZ,000059.SZ,000060.SZ,000060.SZ,000059.SZ,000059.SZ,000059.SZ,000059.SZ,000059.SZ,000059.SZ,,,,,,,
000031.SZ,000031.SZ,000031.SZ,000031.SZ,000039.SZ,000039.SZ,000031.SZ,000031.SZ,000031.SZ,000031.SZ,000031.SZ,000031.SZ,000151.SZ,000151.SZ,000159.SZ,000159.SZ,000418.SZ,000402.SZ,000402.SZ,000159.SZ,000159.SZ,000159.SZ,000402.SZ,000402.SZ,000060.SZ,000060.SZ,000060.SZ,000062.SZ,000060.SZ,000062.SZ,000062.SZ,000069.SZ,000069.SZ,000069.SZ,000062.SZ,000062.SZ,000050.SZ,000055.SZ,000055.SZ,000050.SZ,000049.SZ,000040.SZ,000040.SZ,000039.SZ,000039.SZ,000039.SZ,000039.SZ,000039.SZ,000031.SZ,000031.SZ,000031.SZ,000039.SZ,000040.SZ,000050.SZ,000040.SZ,000040.SZ,000039.SZ,000039.SZ,000039.SZ,000039.SZ,000032.SZ,000032.SZ,000032.SZ,000032.SZ,000032.SZ,000032.SZ,000032.SZ,000032.SZ,000032.SZ,000032.SZ,000032.SZ,000032.SZ,000027.SZ,000027.SZ,000027.SZ,000027.SZ,000027.SZ,000028.SZ,000028.SZ,000027.SZ,000027.SZ,000027.SZ,000027.SZ,000027.SZ,000027.SZ,000027.SZ,000027.SZ,000027.SZ,000027.SZ,000027.SZ,000027.SZ,000027.SZ,000027.SZ,000027.SZ,000027.SZ,000027.SZ,000060.SZ,000060.SZ,000060.SZ,000060.SZ,000062.SZ,000062.SZ,000060.SZ,000060.SZ,000060.SZ,000060.SZ,000060.SZ,000060.SZ,,,,,,,
000039.SZ,000039.SZ,000039.SZ,000039.SZ,000046.SZ,000046.SZ,000039.SZ,000039.SZ,000039.SZ,000039.SZ,000039.SZ,000039.SZ,000159.SZ,000159.SZ,000402.SZ,000402.SZ,000423.SZ,000418.SZ,000418.SZ,000402.SZ,000402.SZ,000402.SZ,000418.SZ,000418.SZ,000062.SZ,000062.SZ,000062.SZ,000065.SZ,000062.SZ,000065.SZ,000069.SZ,000070.SZ,000070.SZ,000070.SZ,000069.SZ,000065.SZ,000055.SZ,000060.SZ,000060.SZ,000055.SZ,000050.SZ,000049.SZ,000049.SZ,000040.SZ,000040.SZ,000040.SZ,000040.SZ,000040.SZ,000039.SZ,000039.SZ,000039.SZ,000040.SZ,000050.SZ,000058.SZ,000050.SZ,000050.SZ,000040.SZ,000040.SZ,000040.SZ,000040.SZ,000049.SZ,000049.SZ,000049.SZ,000049.SZ,000050.SZ,000049.SZ,000049.SZ,000049.SZ,000049.SZ,000049.SZ,000049.SZ,000049.SZ,000028.SZ,000028.SZ,000028.SZ,000028.SZ,000028.SZ,000030.SZ,000030.SZ,000028.SZ,000028.SZ,000028.SZ,000028.SZ,000028.SZ,000030.SZ,000030.SZ,000030.SZ,000030.SZ,000030.SZ,000030.SZ,000030.SZ,000030.SZ,000030.SZ,000030.SZ,000030.SZ,000030.SZ,000062.SZ,000062.SZ,000062.SZ,000063.SZ,000063.SZ,000063.SZ,000062.SZ,000062.SZ,000062.SZ,000062.SZ,000062.SZ,000062.SZ,,,,,,,
000046.SZ,000046.SZ,000046.SZ,000046.SZ,000090.SZ,000090.SZ,000046.SZ,000046.SZ,000046.SZ,000046.SZ,000046.SZ,000046.SZ,000402.SZ,000402.SZ,000418.SZ,000418.SZ,000525.SZ,000421.SZ,000421.SZ,000418.SZ,000418.SZ,000418.SZ,000421.SZ,000421.SZ,000065.SZ,000065.SZ,000065.SZ,000069.SZ,000069.SZ,000069.SZ,000070.SZ,000089.SZ,000089.SZ,000089.SZ,000070.SZ,000069.SZ,000060.SZ,000062.SZ,000062.SZ,000060.SZ,000055.SZ,000050.SZ,000050.SZ,000049.SZ,000049.SZ,000049.SZ,000049.SZ,000049.SZ,000040.SZ,000040.SZ,000040.SZ,000050.SZ,000058.SZ,000060.SZ,000058.SZ,000058.SZ,000050.SZ,000050.SZ,000050.SZ,000042.SZ,000050.SZ,000050.SZ,000050.SZ,000061.SZ,000061.SZ,000050.SZ,000050.SZ,000050.SZ,000050.SZ,000050.SZ,000050.SZ,000050.SZ,000049.SZ,000049.SZ,000030.SZ,000030.SZ,000030.SZ,000049.SZ,000049.SZ,000030.SZ,000030.SZ,000030.SZ,000030.SZ,000030.SZ,000032.SZ,000032.SZ,000032.SZ,000032.SZ,000032.SZ,000048.SZ,000039.SZ,000039.SZ,000039.SZ,000039.SZ,000039.SZ,000039.SZ,000063.SZ,000063.SZ,000063.SZ,000088.SZ,000156.SZ,000156.SZ,000063.SZ,000063.SZ,000063.SZ,000063.SZ,000063.SZ,000063.SZ,,,,,,,
