innercode,companycode,wind_code
3,3,000001.SZ
6,6,000002.SZ
14,11,000004.SZ
17,14,000005.SZ
20,17,000006.SZ
23,20,000007.SZ
26,23,000008.SZ
28,25,000009.SZ
31,27,000010.SZ
34,30,000011.SZ
38,33,000012.SZ
43,36,000014.SZ
47,39,000016.SZ
49,40,000017.SZ
51,41,000018.SZ
53,42,000019.SZ
55,43,000020.SZ
57,44,000021.SZ
60,46,000023.SZ
61,47,000024.SZ
63,48,000025.SZ
65,49,000026.SZ
67,50,000027.SZ
68,51,000028.SZ
70,52,000029.SZ
72,53,000030.SZ
74,54,000031.SZ
75,55,000032.SZ
76,56,000033.SZ
77,57,000034.SZ
78,58,000035.SZ
79,59,000036.SZ
80,60,000037.SZ
82,61,000038.SZ
83,62,000039.SZ
85,63,000040.SZ
86,64,000042.SZ
88,66,000045.SZ
90,67,000046.SZ
92,69,000048.SZ
93,70,000049.SZ
94,71,000050.SZ
95,72,000055.SZ
97,73,000056.SZ
99,74,000058.SZ
101,75,000059.SZ
102,76,000060.SZ
103,77,000061.SZ
104,78,000062.SZ
105,79,000063.SZ
106,80,000065.SZ
107,81,000066.SZ
108,82,000068.SZ
109,83,000069.SZ
111,84,000070.SZ
112,85,000078.SZ
113,86,000088.SZ
114,87,000089.SZ
115,88,000090.SZ
116,89,000096.SZ
117,90,000099.SZ
118,91,000100.SZ
119,92,000150.SZ
120,93,000151.SZ
121,94,000153.SZ
122,95,000155.SZ
123,96,000156.SZ
124,97,000157.SZ
125,98,000158.SZ
126,99,000159.SZ
43570,41169,000166.SZ
141,114,000301.SZ
30181,6242,000333.SZ
5312,4225,000338.SZ
147,118,000400.SZ
148,119,000401.SZ
149,120,000402.SZ
150,121,000403.SZ
151,122,000404.SZ
154,125,000407.SZ
155,126,000408.SZ
156,127,000409.SZ
157,128,000410.SZ
158,129,000411.SZ
160,131,000413.SZ
162,132,000415.SZ
163,133,000416.SZ
164,134,000417.SZ
165,135,000418.SZ
167,136,000419.SZ
168,137,000420.SZ
169,138,000421.SZ
170,139,000422.SZ
171,140,000423.SZ
172,141,000425.SZ
173,142,000426.SZ
174,143,000428.SZ
175,144,000429.SZ
177,145,000430.SZ
178,146,000488.SZ
180,147,000498.SZ
181,148,000501.SZ
182,149,000502.SZ
184,150,000503.SZ
185,151,000504.SZ
186,152,000505.SZ
188,153,000506.SZ
189,154,000507.SZ
191,156,000509.SZ
192,157,000510.SZ
193,158,000511.SZ
194,159,000513.SZ
