wind_code,year,dividendps
000001.SZ,2011,
000001.SZ,2012,
000001.SZ,2013,0.07999999999999997
000001.SZ,2014,-0.1480000000000001
000001.SZ,2015,-0.003500000000000009
000001.SZ,2016,-0.008000000000000016
000001.SZ,2017,-0.008500000000000021
000001.SZ,2018,-0.006500000000000014
000001.SZ,2019,0.04099999999999999
000001.SZ,2020,0.017499999999999967
000001.SZ,2021,0.005000000000000011
000001.SZ,2022,0.05249999999999997
000001.SZ,2023,-0.11400000000000002
000002.SZ,2011,
000002.SZ,2012,
000002.SZ,2013,0.13999999999999999
000002.SZ,2014,0.15999999999999998
000002.SZ,2015,0.155
000002.SZ,2016,0.14499999999999996
000002.SZ,2017,0.08999999999999993
000002.SZ,2018,0.12754999999999989
000002.SZ,2019,0.05830000000000012
000002.SZ,2020,0.10245000000000001
000002.SZ,2021,-0.020250000000000115
000002.SZ,2022,-0.6250000000000002
000002.SZ,2023,-0.48805
000004.SZ,2011,
000004.SZ,2012,
000004.SZ,2013,0.0
000004.SZ,2014,0.0
000004.SZ,2015,0.0
000004.SZ,2016,0.0
000004.SZ,2017,0.0
000004.SZ,2018,0.0
000004.SZ,2019,0.0
000004.SZ,2020,0.0
000004.SZ,2021,0.0
000004.SZ,2022,0.0
000004.SZ,2023,0.0
000005.SZ,2011,
000005.SZ,2012,
000005.SZ,2013,0.0
000005.SZ,2014,0.0
000005.SZ,2015,0.0
000005.SZ,2016,0.0
000005.SZ,2017,0.0
000005.SZ,2018,0.0
000005.SZ,2019,0.0
000005.SZ,2020,0.0
000005.SZ,2021,0.0
000005.SZ,2022,0.0
000005.SZ,2023,0.0
000006.SZ,2011,
000006.SZ,2012,
000006.SZ,2013,0.0575
000006.SZ,2014,0.008999999999999963
000006.SZ,2015,-0.01750000000000001
000006.SZ,2016,0.030999999999999993
000006.SZ,2017,0.030499999999999982
000006.SZ,2018,0.007499999999999999
000006.SZ,2019,-0.0010000000000000221
000006.SZ,2020,-0.0009999999999999974
000006.SZ,2021,-0.029000000000000022
000006.SZ,2022,-0.04950000000000003
000006.SZ,2023,-0.060500000000000005
000007.SZ,2011,
000007.SZ,2012,
000007.SZ,2013,0.0
000007.SZ,2014,0.0
000007.SZ,2015,0.0
000007.SZ,2016,0.0
000007.SZ,2017,0.0
000007.SZ,2018,0.0
000007.SZ,2019,0.0
000007.SZ,2020,0.0
000007.SZ,2021,0.0
000007.SZ,2022,0.0
000007.SZ,2023,0.0
000008.SZ,2011,
000008.SZ,2012,
000008.SZ,2013,0.0
000008.SZ,2014,0.0
000008.SZ,2015,0.0
000008.SZ,2016,0.005000000000000001
000008.SZ,2017,0.025
000008.SZ,2018,-6.206335383118182e-18
000008.SZ,2019,-0.020000000000000004
000008.SZ,2020,-0.005000000000000002
000008.SZ,2021,-0.005000000000000001
000008.SZ,2022,0.0
000008.SZ,2023,0.0
000009.SZ,2011,
000009.SZ,2012,
000009.SZ,2013,0.014999999999999998
000009.SZ,2014,-0.005000000000000005
000009.SZ,2015,0.020000000000000004
000009.SZ,2016,-6.206335383118182e-18
000009.SZ,2017,-0.025000000000000015
000009.SZ,2018,0.0
000009.SZ,2019,0.0
000009.SZ,2020,0.0049999999999999975
000009.SZ,2021,0.0075
000009.SZ,2022,0.002500000000000001
000009.SZ,2023,-0.0175
000010.SZ,2011,
000010.SZ,2012,
000010.SZ,2013,0.0
000010.SZ,2014,0.0
000010.SZ,2015,0.0
000010.SZ,2016,0.0
000010.SZ,2017,0.0
000010.SZ,2018,0.0
000010.SZ,2019,0.0
000010.SZ,2020,0.0
000010.SZ,2021,0.0
000010.SZ,2022,0.0
000010.SZ,2023,0.0
000011.SZ,2011,
000011.SZ,2012,
000011.SZ,2013,0.125
000011.SZ,2014,0.10999999999999999
000011.SZ,2015,-0.08499999999999996
000011.SZ,2016,-0.020000000000000007
000011.SZ,2017,0.10999999999999999
000011.SZ,2018,0.05999999999999999
000011.SZ,2019,0.029999999999999957
000011.SZ,2020,0.055
000011.SZ,2021,0.16
000011.SZ,2022,-0.024500000000000053
000011.SZ,2023,-0.3400000000000001
000012.SZ,2011,
000012.SZ,2012,
000012.SZ,2013,0.05999999999999999
000012.SZ,2014,0.175
000012.SZ,2015,-4.965068306494546e-17
000012.SZ,2016,-0.19999999999999996
000012.SZ,2017,-0.12500000000000003
000012.SZ,2018,-0.024999999999999998
000012.SZ,2019,0.010000000000000005
000012.SZ,2020,0.024999999999999994
000012.SZ,2021,0.065
000012.SZ,2022,0.024999999999999977
000012.SZ,2023,-0.1
000014.SZ,2011,
000014.SZ,2012,
000014.SZ,2013,-0.002500000000000001
000014.SZ,2014,-0.0029999999999999996
000014.SZ,2015,0.010999999999999998
000014.SZ,2016,-0.0020000000000000057
000014.SZ,2017,-0.013500000000000002
000014.SZ,2018,0.0255
000014.SZ,2019,0.000499999999999994
000014.SZ,2020,-0.029
000014.SZ,2021,0.019500000000000003
000014.SZ,2022,0.05599999999999999
000014.SZ,2023,-0.025000000000000015
000016.SZ,2011,
000016.SZ,2012,
000016.SZ,2013,0.0
000016.SZ,2014,0.0
000016.SZ,2015,-0.005000000000000002
000016.SZ,2016,-0.005000000000000001
000016.SZ,2017,0.08100000000000002
000016.SZ,2018,0.04999999999999999
000016.SZ,2019,-0.056
000016.SZ,2020,0.0
000016.SZ,2021,-6.206335383118182e-18
000016.SZ,2022,-0.05000000000000002
000016.SZ,2023,-0.024999999999999994
000017.SZ,2011,
000017.SZ,2012,
000017.SZ,2013,0.0
000017.SZ,2014,0.0
000017.SZ,2015,0.0
000017.SZ,2016,0.0
000017.SZ,2017,0.0
000017.SZ,2018,0.0
000017.SZ,2019,0.0
000017.SZ,2020,0.0
000017.SZ,2021,0.0
000017.SZ,2022,0.0
000017.SZ,2023,0.0
000018.SZ,2011,
000018.SZ,2012,
