wind_code,year,dividendps
000001.SZ,2011,0.0
000001.SZ,2012,0.47000000000000003
000001.SZ,2013,0.16
000001.SZ,2014,0.174
000001.SZ,2015,0.153
000001.SZ,2016,0.158
000001.SZ,2017,0.136
000001.SZ,2018,0.145
000001.SZ,2019,0.218
000001.SZ,2020,0.18
000001.SZ,2021,0.228
000001.SZ,2022,0.285
000001.SZ,2023,0.0
000002.SZ,2011,0.13
000002.SZ,2012,0.18
000002.SZ,2013,0.41
000002.SZ,2014,0.5
000002.SZ,2015,0.72
000002.SZ,2016,0.79
000002.SZ,2017,0.9
000002.SZ,2018,1.0451
000002.SZ,2019,1.0166
000002.SZ,2020,1.25
000002.SZ,2021,0.9761
000002.SZ,2022,0.0
000002.SZ,2023,0.0
000004.SZ,2011,0.0
000004.SZ,2012,0.0
000004.SZ,2013,0.0
000004.SZ,2014,0.0
000004.SZ,2015,0.0
000004.SZ,2016,0.0
000004.SZ,2017,0.0
000004.SZ,2018,0.0
000004.SZ,2019,0.0
000004.SZ,2020,0.0
000004.SZ,2021,0.0
000004.SZ,2022,0.0
000004.SZ,2023,0.0
000005.SZ,2011,0.0
000005.SZ,2012,0.0
000005.SZ,2013,0.0
000005.SZ,2014,0.0
000005.SZ,2015,0.0
000005.SZ,2016,0.0
000005.SZ,2017,0.0
000005.SZ,2018,0.0
000005.SZ,2019,0.0
000005.SZ,2020,0.0
000005.SZ,2021,0.0
000005.SZ,2022,0.0
000005.SZ,2023,0.0
000006.SZ,2011,0.04
000006.SZ,2012,0.1
000006.SZ,2013,0.155
000006.SZ,2014,0.118
000006.SZ,2015,0.12
000006.SZ,2016,0.18
000006.SZ,2017,0.181
000006.SZ,2018,0.195
000006.SZ,2019,0.179
000006.SZ,2020,0.193
000006.SZ,2021,0.121
000006.SZ,2022,0.094
000006.SZ,2023,0.0
000007.SZ,2011,0.0
000007.SZ,2012,0.0
000007.SZ,2013,0.0
000007.SZ,2014,0.0
000007.SZ,2015,0.0
000007.SZ,2016,0.0
000007.SZ,2017,0.0
000007.SZ,2018,0.0
000007.SZ,2019,0.0
000007.SZ,2020,0.0
000007.SZ,2021,0.0
000007.SZ,2022,0.0
000007.SZ,2023,0.0
000008.SZ,2011,0.0
000008.SZ,2012,0.0
000008.SZ,2013,0.0
000008.SZ,2014,0.0
000008.SZ,2015,0.0
000008.SZ,2016,0.01
000008.SZ,2017,0.05
000008.SZ,2018,0.01
000008.SZ,2019,0.01
000008.SZ,2020,0.0
000008.SZ,2021,0.0
000008.SZ,2022,0.0
000008.SZ,2023,0.0
000009.SZ,2011,0.0
000009.SZ,2012,0.03
000009.SZ,2013,0.03
000009.SZ,2014,0.02
000009.SZ,2015,0.07
000009.SZ,2016,0.02
000009.SZ,2017,0.02
000009.SZ,2018,0.02
000009.SZ,2019,0.02
000009.SZ,2020,0.03
000009.SZ,2021,0.035
000009.SZ,2022,0.035
000009.SZ,2023,0.0
000010.SZ,2011,0.0
000010.SZ,2012,0.0
000010.SZ,2013,0.0
000010.SZ,2014,0.0
000010.SZ,2015,0.0
000010.SZ,2016,0.0
000010.SZ,2017,0.0
000010.SZ,2018,0.0
000010.SZ,2019,0.0
000010.SZ,2020,0.0
000010.SZ,2021,0.0
000010.SZ,2022,0.0
000010.SZ,2023,0.0
000011.SZ,2011,0.0
000011.SZ,2012,0.0
000011.SZ,2013,0.25
000011.SZ,2014,0.22
000011.SZ,2015,0.08
000011.SZ,2016,0.18
000011.SZ,2017,0.3
000011.SZ,2018,0.3
000011.SZ,2019,0.36
000011.SZ,2020,0.41
000011.SZ,2021,0.68
000011.SZ,2022,0.361
000011.SZ,2023,0.0
000012.SZ,2011,0.18
000012.SZ,2012,0.15
000012.SZ,2013,0.3
000012.SZ,2014,0.5
000012.SZ,2015,0.3
000012.SZ,2016,0.1
000012.SZ,2017,0.05
000012.SZ,2018,0.05
000012.SZ,2019,0.07
000012.SZ,2020,0.1
000012.SZ,2021,0.2
000012.SZ,2022,0.15
000012.SZ,2023,0.0
000014.SZ,2011,0.02
000014.SZ,2012,0.025
000014.SZ,2013,0.015
000014.SZ,2014,0.019
000014.SZ,2015,0.037
000014.SZ,2016,0.015
000014.SZ,2017,0.01
000014.SZ,2018,0.066
000014.SZ,2019,0.011
000014.SZ,2020,0.008
000014.SZ,2021,0.05
000014.SZ,2022,0.12
000014.SZ,2023,0.0
000016.SZ,2011,0.01
000016.SZ,2012,0.01
000016.SZ,2013,0.01
000016.SZ,2014,0.01
000016.SZ,2015,0.0
000016.SZ,2016,0.0
000016.SZ,2017,0.162
000016.SZ,2018,0.1
000016.SZ,2019,0.05
000016.SZ,2020,0.1
000016.SZ,2021,0.05
000016.SZ,2022,0.0
000016.SZ,2023,0.0
000017.SZ,2011,0.0
000017.SZ,2012,0.0
000017.SZ,2013,0.0
000017.SZ,2014,0.0
000017.SZ,2015,0.0
000017.SZ,2016,0.0
000017.SZ,2017,0.0
000017.SZ,2018,0.0
000017.SZ,2019,0.0
000017.SZ,2020,0.0
000017.SZ,2021,0.0
000017.SZ,2022,0.0
000017.SZ,2023,0.0
000018.SZ,2011,0.0
000018.SZ,2012,0.0
000018.SZ,2013,0.0
000018.SZ,2014,0.0
000018.SZ,2015,0.0
000018.SZ,2016,0.06
000018.SZ,2017,0.04
000018.SZ,2018,0.0
000018.SZ,2019,0.0
000019.SZ,2011,0.0
000019.SZ,2012,0.2
000019.SZ,2013,0.0
000019.SZ,2014,0.0
000019.SZ,2015,0.0
000019.SZ,2016,0.05
000019.SZ,2017,0.0
000019.SZ,2018,0.1
000019.SZ,2019,0.2
000019.SZ,2020,0.2
000019.SZ,2021,0.25
000019.SZ,2022,0.25
000019.SZ,2023,0.0
000020.SZ,2011,0.0
000020.SZ,2012,0.0
000020.SZ,2013,0.0
000020.SZ,2014,0.0
000020.SZ,2015,0.0
000020.SZ,2016,0.0
000020.SZ,2017,0.0
000020.SZ,2018,0.0
000020.SZ,2019,0.0
000020.SZ,2020,0.0
000020.SZ,2021,0.0
000020.SZ,2022,0.0
000020.SZ,2023,0.0
000021.SZ,2011,0.1
000021.SZ,2012,0.02
000021.SZ,2013,0.05
000021.SZ,2014,0.05
000021.SZ,2015,0.05
000021.SZ,2016,0.05
000021.SZ,2017,0.05
000021.SZ,2018,0.1
000021.SZ,2019,0.06
000021.SZ,2020,0.16
000021.SZ,2021,0.15
000021.SZ,2022,0.13
000021.SZ,2023,0.0
000023.SZ,2011,0.03
000023.SZ,2012,0.03
000023.SZ,2013,0.04
000023.SZ,2014,0.04
000023.SZ,2015,0.05
000023.SZ,2016,0.04
000023.SZ,2017,0.05
000023.SZ,2018,0.06
000023.SZ,2019,0.01
000023.SZ,2020,0.0
000023.SZ,2021,0.0
000023.SZ,2022,0.0
000023.SZ,2023,0.0
000024.SZ,2011,0.2
000024.SZ,2012,0.3
000024.SZ,2013,0.48
000024.SZ,2014,0.32
000024.SZ,2015,0.0
000025.SZ,2011,0.0
000025.SZ,2012,0.0
000025.SZ,2013,0.0
000025.SZ,2014,0.0
000025.SZ,2015,0.0
000025.SZ,2016,0.0
000025.SZ,2017,0.0
000025.SZ,2018,0.0
000025.SZ,2019,0.042
000025.SZ,2020,0.02
000025.SZ,2021,0.025
000025.SZ,2022,0.028
000025.SZ,2023,0.0
000026.SZ,2011,0.1
000026.SZ,2012,0.1
000026.SZ,2013,0.1
000026.SZ,2014,0.1
000026.SZ,2015,0.1
000026.SZ,2016,0.1
000026.SZ,2017,0.2
000026.SZ,2018,0.2008
000026.SZ,2019,0.2
000026.SZ,2020,0.4084
000026.SZ,2021,0.3
000026.SZ,2022,0.25
000026.SZ,2023,0.0
000027.SZ,2011,0.1
000027.SZ,2012,0.1
000027.SZ,2013,0.25
000027.SZ,2014,0.2
000027.SZ,2015,0.2
000027.SZ,2016,0.15
000027.SZ,2017,0.08
000027.SZ,2018,0.05
000027.SZ,2019,0.05
000027.SZ,2020,0.26
000027.SZ,2021,0.175
000027.SZ,2022,0.14
000027.SZ,2023,0.0
000028.SZ,2011,0.13
000028.SZ,2012,0.18
000028.SZ,2013,0.18
000028.SZ,2014,0.2
000028.SZ,2015,0.3
000028.SZ,2016,0.33
000028.SZ,2017,0.3
000028.SZ,2018,0.4
000028.SZ,2019,0.6
000028.SZ,2020,0.8
000028.SZ,2021,0.6
000028.SZ,2022,0.8
000028.SZ,2023,0.0
000029.SZ,2011,0.0
000029.SZ,2012,0.0
000029.SZ,2013,0.0
000029.SZ,2014,0.0
000029.SZ,2015,0.39
000029.SZ,2016,0.0
000029.SZ,2017,0.0
000029.SZ,2018,0.2
000029.SZ,2019,0.165
000029.SZ,2020,0.087
000029.SZ,2021,0.088
000029.SZ,2022,0.061
000029.SZ,2023,0.0
000030.SZ,2011,0.0
000030.SZ,2012,0.0
000030.SZ,2013,0.1
000030.SZ,2014,0.1
000030.SZ,2015,0.15
000030.SZ,2016,0.2
000030.SZ,2017,0.2
000030.SZ,2018,0.15
000030.SZ,2019,0.17
000030.SZ,2020,0.3
000030.SZ,2021,0.3
000030.SZ,2022,0.25
