wind_code,innercode
000001.SZ,3
000002.SZ,6
000004.SZ,14
000005.SZ,17
000006.SZ,20
000007.SZ,23
000008.SZ,26
000009.SZ,28
000010.SZ,31
000011.SZ,34
000012.SZ,38
000014.SZ,43
000016.SZ,47
000017.SZ,49
000018.SZ,51
000019.SZ,53
000020.SZ,55
000021.SZ,57
000023.SZ,60
000024.SZ,61
000025.SZ,63
000026.SZ,65
000027.SZ,67
000028.SZ,68
000029.SZ,70
000030.SZ,72
000031.SZ,74
000032.SZ,75
000033.SZ,76
000034.SZ,77
000035.SZ,78
000036.SZ,79
000037.SZ,80
000038.SZ,82
000039.SZ,83
000040.SZ,85
000042.SZ,86
000045.SZ,88
000046.SZ,90
000048.SZ,92
000049.SZ,93
000050.SZ,94
000055.SZ,95
000056.SZ,97
000058.SZ,99
000059.SZ,101
000060.SZ,102
000061.SZ,103
000062.SZ,104
000063.SZ,105
000065.SZ,106
000066.SZ,107
000068.SZ,108
000069.SZ,109
000070.SZ,111
000078.SZ,112
000088.SZ,113
000089.SZ,114
000090.SZ,115
000096.SZ,116
000099.SZ,117
000100.SZ,118
000150.SZ,119
000151.SZ,120
000153.SZ,121
000155.SZ,122
000156.SZ,123
000157.SZ,124
000158.SZ,125
000159.SZ,126
000166.SZ,43570
000301.SZ,141
000333.SZ,30181
000338.SZ,5312
000400.SZ,147
000401.SZ,148
000402.SZ,149
000403.SZ,150
000404.SZ,151
000407.SZ,154
000408.SZ,155
000409.SZ,156
000410.SZ,157
000411.SZ,158
000413.SZ,160
000415.SZ,162
000416.SZ,163
000417.SZ,164
000418.SZ,165
000419.SZ,167
000420.SZ,168
000421.SZ,169
000422.SZ,170
000423.SZ,171
000425.SZ,172
000426.SZ,173
000428.SZ,174
000429.SZ,175
000430.SZ,177
000488.SZ,178
000498.SZ,180
000501.SZ,181
000502.SZ,182
000503.SZ,184
000504.SZ,185
000505.SZ,186
000506.SZ,188
000507.SZ,189
000509.SZ,191
000510.SZ,192
000511.SZ,193
000513.SZ,194
000514.SZ,196
000516.SZ,198
000517.SZ,199
000518.SZ,200
000519.SZ,201
000520.SZ,202
000521.SZ,203
000523.SZ,206
000524.SZ,207
000525.SZ,208
000526.SZ,209
000528.SZ,211
000529.SZ,212
000530.SZ,213
000531.SZ,215
000532.SZ,216
000533.SZ,217
000534.SZ,218
000536.SZ,220
000537.SZ,221
000538.SZ,222
000539.SZ,223
000540.SZ,225
000541.SZ,226
000543.SZ,229
000544.SZ,230
000545.SZ,231
000546.SZ,232
000547.SZ,233
000548.SZ,234
000550.SZ,236
000551.SZ,238
000552.SZ,239
000553.SZ,240
000554.SZ,242
000555.SZ,243
000557.SZ,245
000558.SZ,246
000559.SZ,247
000560.SZ,248
000561.SZ,249
000562.SZ,250
000563.SZ,251
000564.SZ,252
000565.SZ,253
000566.SZ,254
000567.SZ,255
000568.SZ,256
000570.SZ,258
